Interface-ID,UI-199,UI-200,UI-201,UI-202,UI-203,UI-231,UI-232,UI-241,UI-596
20,3,1,3,3,3,6,4,5,0
12,4,2,3,3,4,3,4,6,1
10,3,2,2,2,6,4,3,2,2
15,2,1,1,2,4,5,4,3,0
23,6,4,4,3,5,4,6,5,2
13,3,2,4,2,3,5,4,5,2
71,8,6,8,7,7,9,6,9,8
69,10,7,8,8,10,10,9,10,6
6,4,1,3,2,5,5,3,3,1
1,3,2,1,2,6,3,4,4,0
28,5,1,3,4,4,4,6,5,2
89,10,9,8,9,10,10,10,9,5
17,4,1,1,2,3,4,1,4,1
16,3,1,2,1,5,5,2,3,0
67,8,2,8,8,10,7,9,7,6
5,4,1,1,4,5,3,6,4,2
19,8,2,3,2,4,5,4,4,2
14,5,2,7,7,8,5,8,5,2
12,3,1,2,3,4,6,4,4,1
69,10,7,9,7,10,10,9,9,7
13,2,1,3,3,6,6,4,4,0
32,3,1,3,1,4,4,4,4,1
77,8,5,7,7,6,10,7,6,4
82,8,8,8,7,9,10,8,10,7
78,9,7,7,8,10,10,8,6,6
85,9,7,9,8,9,9,10,9,6
23,4,1,4,3,6,5,7,8,0
25,5,2,1,4,5,3,4,3,0
45,8,4,4,3,6,5,5,4,1
54,8,7,8,6,9,10,8,9,6
9,3,3,2,2,5,4,6,3,1
79,8,1,7,7,10,9,6,10,5
31,4,2,5,4,7,6,3,5,5
68,9,6,3,6,8,10,8,6,5
31,4,1,2,2,3,4,2,6,1
51,9,4,3,7,9,9,7,4,6
19,6,2,3,1,3,5,5,5,1
88,9,8,7,6,9,9,9,9,7
89,9,5,8,9,10,10,10,10,7
26,2,1,1,2,2,3,2,4,1
42,9,8,8,7,4,10,8,10,6
72,8,8,8,6,10,10,9,9,5
59,4,3,10,8,5,9,4,6,4
20,7,3,4,7,8,9,7,5,2
59,8,6,8,7,10,9,8,9,5
14,3,1,3,4,2,5,1,5,0
64,6,6,3,8,7,9,7,6,5
32,9,3,4,2,8,9,7,5,4
6,2,1,2,1,4,5,1,5,0
67,8,1,7,7,10,10,9,6,6
20,4,2,4,8,5,7,7,5,5
65,9,1,4,5,7,9,5,5,5
35,7,6,9,8,6,10,6,5,5
11,3,2,4,2,5,3,5,4,1
73,6,4,7,5,5,9,5,6,6
29,5,1,3,2,4,5,4,4,2
17,4,1,3,3,5,6,6,5,2
16,5,1,3,1,1,4,1,4,0
69,5,3,3,7,6,10,5,4,3
33,9,1,4,3,5,5,7,5,1
65,7,8,8,8,10,10,8,10,6
89,9,8,8,8,10,10,10,10,8
23,5,1,2,2,3,4,3,2,1
1,3,2,3,1,5,5,2,6,1
27,6,3,4,3,5,4,4,4,1
61,8,7,9,4,9,9,6,9,6
30,9,6,8,5,7,8,6,5,5
20,5,2,3,2,7,5,5,5,1
32,5,2,3,1,5,3,3,4,2
55,7,7,8,8,9,8,10,10,5
34,6,1,4,7,5,8,6,6,2
9,4,1,1,1,5,5,1,4,2
71,8,6,7,6,9,9,7,10,7
16,3,1,3,2,4,6,5,5,1
17,7,3,2,2,8,4,7,5,0
78,10,8,8,7,9,10,10,10,7
28,4,1,2,3,2,4,3,2,1
78,9,7,9,6,9,10,7,9,7
29,3,2,3,4,6,4,4,4,3
85,7,6,9,7,9,8,9,10,5
32,5,1,2,2,4,3,5,3,2
57,8,7,6,6,9,9,10,10,6
79,7,9,10,7,10,9,10,10,8
79,9,7,7,7,6,9,6,8,5
58,4,7,3,4,10,5,9,6,1
31,3,1,1,2,4,4,1,4,0
31,3,1,2,2,2,2,1,3,0
23,3,1,1,1,2,5,1,3,1
66,5,1,2,8,10,4,9,6,4
83,9,8,7,9,10,10,10,10,6
28,5,1,3,2,2,5,3,4,1
77,8,7,7,9,10,10,10,10,7
25,4,1,4,2,4,3,5,5,0
14,2,1,2,1,1,5,2,1,0
16,5,1,2,1,5,6,3,5,0
6,3,3,4,4,2,4,4,4,1
72,8,9,7,7,10,10,9,10,7
82,9,2,7,5,9,8,7,7,6
65,9,8,8,7,10,8,9,10,4
78,10,6,6,7,9,10,9,10,7
82,10,7,7,7,7,10,9,10,5
28,3,1,1,3,4,6,3,2,0
19,4,1,4,1,2,4,1,6,1
2,4,2,4,7,3,5,3,6,0
81,9,8,8,7,6,10,7,9,5
27,7,2,2,9,6,9,7,6,4
89,9,8,6,6,10,8,8,9,5
89,10,6,6,8,9,10,10,10,6
86,9,7,9,8,8,8,10,9,5
74,8,6,9,9,10,9,8,8,6
79,10,8,7,9,10,10,8,10,6
32,5,1,4,3,4,6,5,6,1
16,5,1,2,2,6,4,4,3,0
79,8,8,9,9,9,9,10,9,7
54,8,3,5,3,4,6,5,6,5
22,9,5,4,6,6,6,9,5,6
62,8,7,4,5,10,10,9,6,6
27,4,3,5,3,4,4,7,5,0
80,10,7,10,7,9,10,10,10,4
12,3,2,1,1,3,3,2,5,1
78,10,8,7,8,10,10,10,10,5
39,7,3,7,7,5,10,4,6,3
61,2,3,6,2,4,5,7,4,5
26,3,2,5,5,3,4,6,4,1
26,3,1,1,1,3,3,3,6,1
74,9,7,8,8,8,10,9,10,6
3,2,1,2,2,2,3,2,4,0
28,6,2,4,2,1,5,2,6,1
29,5,2,2,2,5,5,6,2,2
19,6,1,2,8,5,5,5,4,1
83,8,2,2,7,8,6,6,7,4
18,4,2,1,2,6,6,5,7,1
58,4,1,4,3,5,6,4,5,0
58,8,5,9,8,10,10,8,9,4
13,3,2,1,1,2,5,4,2,0
22,3,1,2,2,3,4,2,4,0
74,10,8,7,7,10,9,10,10,5
13,5,2,4,3,3,5,4,3,1
70,9,8,8,7,9,10,10,10,6
81,9,7,8,8,9,10,8,10,8
84,10,8,9,8,9,8,9,10,6
12,2,3,1,1,4,5,3,3,1
74,8,9,8,8,10,10,6,5,6
29,5,2,4,3,5,7,3,4,0
23,4,2,4,5,4,5,5,6,6
23,4,1,1,6,3,4,6,5,1
27,5,1,4,5,4,5,5,8,1
79,10,8,7,6,9,10,8,10,6
23,3,1,2,1,5,2,5,6,0
72,9,8,8,7,9,9,8,10,6
17,4,1,3,4,5,4,4,5,0
21,4,1,2,2,4,4,1,3,0
66,8,2,7,4,10,9,9,8,6
69,8,6,7,7,9,10,7,9,5
74,5,4,4,8,7,4,4,6,5
20,5,1,2,3,6,3,3,5,1
41,3,2,3,6,5,6,6,4,1
20,9,2,3,6,4,8,8,6,4
31,5,3,3,4,4,5,5,4,2
14,3,1,2,2,7,3,8,5,2
25,2,3,3,6,3,4,3,5,5
88,9,8,8,9,9,10,9,10,6
84,8,2,8,7,10,9,6,9,5
18,5,2,4,8,5,6,5,4,2
19,3,1,1,2,3,3,5,5,1
89,7,7,7,7,10,10,10,10,6
30,4,1,2,2,5,4,4,4,1
82,8,2,8,6,6,9,8,10,5
68,7,3,2,6,4,7,5,3,2
12,3,1,1,3,2,6,4,5,0
24,3,3,8,8,5,9,5,3,5
13,6,1,1,4,2,5,2,5,1
88,9,7,10,6,10,9,9,9,7
83,9,7,8,6,4,8,9,5,6
29,4,1,3,1,4,3,4,6,0
89,9,8,8,8,10,9,10,10,8
65,10,6,6,7,7,8,4,6,6
62,5,5,8,8,4,5,8,6,5
32,4,4,3,6,3,4,6,5,5
24,7,7,3,3,3,7,6,6,2
3,4,1,2,3,7,6,6,3,3
37,5,1,3,2,2,6,5,3,2
68,10,8,8,8,7,10,6,5,5
19,2,2,4,3,6,4,7,6,1
36,4,5,6,7,4,5,5,6,4
85,9,6,8,8,7,9,10,10,6
73,5,2,3,9,5,7,5,5,4
75,9,6,7,7,10,10,9,10,6
89,10,7,8,8,9,10,10,10,7
8,5,2,2,3,4,5,4,5,1
72,9,7,8,7,10,10,9,7,7
40,3,7,3,3,6,9,8,5,4
72,9,2,8,7,10,9,7,10,6
89,8,7,8,8,10,10,10,10,6
26,8,2,2,3,5,5,4,6,5
23,5,1,2,2,3,6,4,2,0
12,4,2,3,2,3,3,6,5,2
77,4,3,8,7,4,8,7,6,6
22,4,1,2,3,1,5,4,3,2
23,3,3,3,2,5,3,2,6,1
15,3,4,2,1,6,5,5,4,3
42,7,5,5,6,5,9,8,6,6
1,2,2,2,2,2,4,2,2,1
4,3,1,2,1,2,4,4,5,1
74,9,7,9,9,9,10,8,10,6
70,9,7,8,7,10,10,5,10,6
9,3,1,2,2,2,5,4,2,1
