Interface,UI-317,UI-318,UI-323,UI-324,UI-346,Usability Indicator
1,1,0,0,1,1,negative
2,1,1,0,1,1,positive
3,1,1,0,1,0,negative
4,1,1,0,1,0,negative
5,1,1,0,1,1,positive
6,1,0,0,1,1,negative
7,0,1,0,1,0,positive
8,0,1,0,1,0,negative
9,0,1,0,1,1,negative
10,1,0,0,1,1,negative
11,1,1,0,1,1,negative
12,1,1,0,1,0,positive
13,1,0,0,1,1,negative
14,1,1,0,1,1,positive
15,0,1,0,1,1,negative
16,1,1,0,1,1,positive
17,1,1,0,1,0,negative
18,1,1,0,1,0,negative
19,1,0,0,1,1,negative
20,1,1,0,1,0,negative
21,1,1,0,1,1,positive
22,1,1,0,1,0,negative
23,1,1,0,1,0,positive
24,1,1,0,1,1,positive
25,1,1,0,1,1,positive
26,1,1,0,1,0,negative
27,1,1,0,1,0,positive
28,1,1,0,1,0,negative
29,0,1,0,1,1,negative
30,1,1,0,1,0,negative
31,1,1,0,1,0,positive
32,1,0,0,1,1,negative
33,1,1,0,1,0,negative
34,1,1,0,1,1,positive
35,0,1,0,1,1,negative
36,1,0,0,1,1,negative
37,1,1,0,1,1,negative
38,1,1,0,1,1,negative
39,0,1,0,1,1,negative
40,0,1,0,1,1,negative
41,0,1,0,1,1,negative
42,1,0,0,1,1,negative
43,1,0,0,1,1,negative
44,1,0,0,1,1,negative
45,1,1,0,1,0,negative
46,1,1,0,1,0,negative
47,1,0,0,1,1,negative
48,1,0,0,1,1,negative
49,1,1,0,1,0,positive
50,1,1,0,1,1,negative
51,0,1,0,1,1,negative
52,1,1,0,1,0,positive
53,1,0,0,1,1,negative
54,1,0,0,1,1,negative
55,1,1,0,1,1,negative
56,1,1,0,1,0,negative
57,1,0,0,1,1,negative
58,1,0,0,1,1,negative
59,0,1,0,1,1,negative
60,0,0,0,1,1,negative
61,1,1,0,1,0,negative
62,0,1,0,1,1,negative
63,0,1,0,1,1,negative
64,1,0,0,1,1,negative
65,1,0,0,1,1,negative
66,1,1,0,1,0,negative
67,1,1,0,1,1,positive
68,0,1,0,1,0,negative
69,0,1,0,1,1,negative
70,1,1,0,1,0,negative
71,0,1,0,1,1,negative
72,1,1,0,1,0,negative
73,1,1,0,1,1,positive
74,1,0,0,1,1,negative
75,1,0,0,1,1,negative
76,1,1,0,1,0,negative
77,1,1,0,1,0,negative
78,1,0,0,1,1,negative
79,1,1,0,1,1,negative
80,1,1,0,1,0,negative
81,1,0,0,1,1,negative
82,1,1,0,1,1,negative
83,1,1,0,1,0,negative
84,0,1,0,1,0,negative
85,1,0,0,1,1,negative
86,0,1,0,1,1,negative
87,1,1,0,1,0,negative
88,0,1,0,1,1,negative
89,1,1,0,1,0,negative
90,1,1,0,1,1,negative
91,0,1,0,1,1,positive
92,1,1,0,1,0,negative
93,1,1,0,1,1,positive
94,1,1,0,1,0,negative
95,1,0,0,1,1,positive
96,0,1,0,1,0,negative
97,1,1,0,1,1,positive
98,1,1,0,1,1,positive
99,1,1,0,1,1,positive
100,1,1,0,1,0,negative
101,0,1,0,1,1,negative
102,1,1,0,1,1,negative
103,1,1,0,1,0,negative
104,1,1,0,1,1,negative
105,1,1,0,1,0,negative
106,1,0,0,1,1,negative
107,0,1,0,1,1,negative
108,1,1,0,1,1,positive
109,1,1,0,1,0,negative
110,1,1,0,1,0,negative
111,1,1,0,1,1,positive
112,1,1,0,1,0,negative
113,1,1,0,1,1,negative
114,1,0,0,1,1,negative
115,1,1,0,1,0,negative
116,1,1,0,1,1,negative
117,1,1,0,1,0,negative
118,1,1,0,1,0,negative
119,1,0,0,1,1,positive
120,1,0,0,1,1,positive
121,1,0,0,1,1,negative
122,1,1,0,1,0,negative
123,0,1,0,1,0,negative
124,0,1,0,1,1,negative
125,1,1,0,1,1,negative
126,1,1,0,1,1,positive
127,1,1,0,1,0,negative
128,1,1,0,1,1,positive
129,1,1,0,1,0,negative
130,1,1,0,1,0,negative
131,0,1,0,1,0,negative
132,1,1,0,1,1,positive
133,0,1,0,1,0,negative
134,1,1,0,1,0,negative
135,1,1,0,1,0,negative
136,1,1,0,1,1,negative
137,0,1,0,1,1,positive
138,1,1,0,1,0,negative
139,1,0,0,1,1,negative
140,1,0,0,1,1,positive
141,1,1,0,1,1,positive
142,1,0,0,1,1,positive
143,1,0,0,1,1,negative
144,1,1,0,1,1,positive
145,1,0,0,1,1,negative
146,0,1,0,1,1,negative
147,1,1,0,1,1,negative
148,1,1,0,1,1,negative
149,0,1,0,1,0,negative
150,1,1,0,1,1,negative
151,1,1,0,1,0,negative
152,1,0,0,1,1,negative
153,1,1,0,1,0,negative
154,1,1,0,1,1,positive
155,0,1,0,1,0,negative
156,1,1,0,1,0,negative
157,0,1,0,1,1,negative
158,1,1,0,1,0,negative
159,1,1,0,1,1,positive
160,0,1,0,1,1,negative
161,1,0,0,1,1,negative
162,1,0,0,1,1,positive
163,0,1,0,1,0,negative
164,1,1,0,1,1,negative
165,1,0,0,1,1,positive
166,1,1,0,1,0,negative
167,1,1,0,1,1,negative
168,1,1,0,1,1,negative
169,1,1,0,1,0,negative
170,1,1,0,1,1,negative
171,1,1,0,1,1,negative
172,1,1,0,1,0,negative
173,0,1,0,1,1,negative
174,1,0,0,1,1,negative
175,0,1,0,1,1,negative
176,1,1,0,1,0,negative
177,1,1,0,1,1,positive
178,1,1,0,1,1,negative
179,1,1,0,1,0,negative
180,1,0,0,1,1,negative
181,1,1,0,1,0,negative
182,1,1,0,1,1,positive
183,1,1,0,1,1,negative
184,1,0,0,1,1,negative
185,1,1,0,1,0,negative
186,1,0,0,1,1,negative
187,1,1,0,1,0,negative
188,1,1,0,1,1,positive
189,1,1,0,1,0,negative
190,0,1,0,1,1,positive
191,1,1,0,1,1,positive
192,1,1,0,1,0,negative
193,1,1,0,1,1,negative
194,1,0,0,1,1,positive
195,1,0,0,1,1,negative
196,1,1,0,1,0,negative
197,1,1,0,1,1,negative
198,1,1,0,1,0,negative
199,1,1,0,1,1,negative
200,0,1,0,1,0,negative
201,1,1,0,1,0,negative
202,1,1,0,1,0,negative
203,1,1,0,1,0,negative
204,1,1,0,1,0,negative
205,1,1,0,1,1,positive
206,1,1,0,1,1,negative
207,1,1,0,1,1,negative
208,1,0,0,1,1,negative
209,1,1,0,1,1,negative
210,1,0,0,1,1,negative
211,1,1,0,1,0,negative
212,1,1,0,1,1,negative
213,0,1,0,1,1,negative
214,0,1,0,1,0,negative
215,1,0,0,1,1,negative
216,0,1,0,1,0,negative
217,1,1,0,1,0,negative
218,1,1,0,1,1,positive
219,1,1,0,1,1,negative
220,1,1,0,1,1,negative
221,0,1,0,1,1,negative
222,0,1,0,1,1,negative
223,1,1,0,1,1,negative
224,1,0,0,1,1,negative
225,1,1,0,1,1,negative
226,1,1,0,1,1,positive
227,1,1,0,1,1,negative
228,1,0,0,1,1,negative
229,1,0,0,1,1,negative
230,0,1,0,1,1,negative
231,1,0,0,1,1,positive
232,1,1,0,1,0,negative
233,1,1,0,1,1,positive
234,1,1,0,1,0,negative
235,0,1,0,1,0,negative
236,1,1,0,1,0,positive
237,1,1,0,1,1,positive
238,1,1,0,1,0,negative
239,1,1,0,1,0,negative
240,1,0,0,1,1,negative
241,1,1,0,1,1,positive
242,1,1,0,1,0,negative
243,1,1,0,1,1,positive
244,1,1,0,1,1,negative
245,1,1,0,1,1,negative
246,1,0,0,1,1,negative
247,1,1,0,1,0,negative
248,1,1,0,1,0,negative
249,1,0,0,1,1,negative
250,1,0,0,1,1,positive
251,1,1,0,1,1,negative
252,0,1,0,1,1,negative
253,1,1,0,1,1,positive
254,0,1,0,1,1,negative
255,1,1,0,1,1,negative
256,1,1,0,1,0,negative
257,1,1,0,1,0,negative
258,1,1,0,1,1,positive
259,1,1,0,1,1,negative
260,1,1,0,1,1,negative
261,1,1,0,1,0,positive
262,1,1,0,1,0,negative
263,1,1,0,1,1,negative
264,1,0,0,1,1,positive
265,1,1,0,1,1,negative
266,1,1,0,1,0,positive
267,1,1,0,1,1,positive
268,0,1,0,1,1,negative
269,0,1,0,1,1,negative
270,1,1,0,1,1,negative
271,1,1,0,1,1,positive
272,1,0,0,1,1,positive
273,1,1,0,1,1,positive
274,1,1,0,1,0,negative
275,1,0,0,1,1,positive
276,1,1,0,1,0,negative
277,1,1,0,1,0,negative
278,1,1,0,1,1,negative
279,1,0,0,1,1,negative
280,1,1,0,1,1,negative
281,1,1,0,1,0,negative
282,0,1,0,1,1,negative
283,1,1,0,1,0,negative
284,1,1,0,1,1,negative
285,1,1,0,1,1,positive
286,1,0,0,1,1,negative
287,1,1,0,1,0,negative
288,1,0,0,1,1,positive
289,1,1,0,1,1,negative
290,1,1,0,1,0,negative
291,1,0,0,1,1,negative
292,1,1,0,1,0,negative
293,1,0,0,1,1,negative
294,1,1,0,1,1,positive
295,1,1,0,1,0,negative
296,1,1,0,1,1,positive
297,1,1,0,1,0,negative
298,1,1,0,1,0,negative
299,0,1,0,1,1,negative
300,0,1,0,1,1,negative
301,1,0,0,1,1,negative
302,0,1,0,1,1,negative
303,1,0,0,1,1,negative
304,1,0,0,1,1,positive
305,1,0,0,1,1,positive
306,1,1,0,1,0,negative
307,1,1,0,1,0,negative
308,1,0,0,1,1,negative
309,1,1,0,1,0,negative
310,1,1,0,1,1,negative
311,1,1,0,1,1,negative
312,0,1,0,1,0,negative
313,1,1,0,1,0,negative
314,1,0,0,1,1,negative
315,1,1,0,1,0,negative
316,1,0,0,1,1,negative
317,1,0,0,1,1,negative
318,1,1,0,1,1,negative
319,1,1,0,1,0,positive
320,1,0,0,1,1,negative
321,1,1,0,1,0,negative
322,1,1,0,1,1,negative
323,1,1,0,1,1,negative
324,1,1,0,1,0,negative
325,1,0,0,1,1,negative
326,0,1,0,1,0,negative
327,1,1,0,1,1,positive
328,1,1,0,1,1,negative
329,1,0,0,1,1,negative
330,1,0,0,1,1,negative
331,0,1,0,1,0,negative
332,1,1,0,1,0,negative
333,1,1,0,1,1,positive
334,1,0,0,1,1,positive
335,1,1,0,1,1,negative
336,0,1,0,1,1,negative
337,1,1,0,1,1,positive
338,0,1,0,1,0,positive
339,1,0,0,1,1,negative
340,0,1,0,1,0,negative
341,1,1,0,1,0,negative
342,1,1,0,1,1,negative
343,1,1,0,1,0,positive
344,1,1,0,1,1,positive
345,0,1,0,1,1,negative
346,1,0,0,1,1,positive
347,0,1,0,1,1,negative
348,1,1,0,1,1,negative
349,1,1,0,1,1,positive
350,1,1,0,1,1,negative
351,1,1,0,1,0,negative
352,1,0,0,1,1,negative
353,1,1,0,1,0,negative
354,1,1,0,1,0,negative
355,0,1,0,1,1,negative
356,1,1,0,1,0,negative
357,0,1,0,1,0,negative
358,1,1,0,1,1,positive
359,1,0,0,1,1,negative
360,1,0,0,1,1,negative
361,0,1,0,1,1,positive
362,1,1,0,1,0,negative
363,0,1,0,1,1,positive
364,1,1,0,1,0,negative
365,0,1,0,1,1,negative
366,1,1,0,1,1,positive
367,1,1,0,1,0,negative
368,0,1,0,1,1,negative
369,0,1,0,1,0,positive
370,1,1,0,1,1,negative
371,1,1,0,1,0,negative
372,0,1,0,1,1,negative
373,0,1,0,1,1,negative
374,1,0,0,1,1,negative
375,1,0,0,1,1,negative
376,1,1,0,1,1,positive
377,1,1,0,1,1,positive
378,1,1,0,1,0,negative
379,0,1,0,1,0,negative
380,1,1,0,1,1,negative
381,1,1,0,1,1,negative
382,0,1,0,1,1,negative
383,1,1,0,1,0,negative
384,1,1,0,1,0,negative
385,1,1,0,1,0,negative
386,1,1,0,1,1,negative
387,1,0,0,1,1,negative
388,1,1,0,1,0,negative
389,0,1,0,1,1,negative
390,1,1,0,1,0,negative
391,0,1,0,1,1,negative
392,1,1,0,1,1,negative
393,1,1,0,1,0,negative
394,1,1,0,1,1,negative
395,1,0,0,1,1,negative
396,1,0,0,1,1,negative
397,1,1,0,1,1,positive
398,0,1,0,1,0,negative
399,1,0,0,1,1,negative
400,1,1,0,1,1,negative
401,1,0,0,1,1,negative
402,1,1,0,1,0,negative
403,1,1,0,1,0,negative
404,1,1,0,1,0,negative
405,1,0,0,1,1,negative
406,1,1,0,1,1,positive
407,1,1,0,1,1,negative
408,1,0,0,1,1,negative
409,0,1,0,1,1,negative
410,1,0,0,1,1,negative
411,1,1,0,1,0,negative
412,1,1,0,1,1,positive
413,1,1,0,1,0,negative
414,1,1,0,1,1,positive
415,1,1,0,1,1,negative
416,1,0,0,1,1,positive
417,1,1,0,1,1,positive
418,0,1,0,1,1,negative
419,1,0,0,1,1,negative
420,1,1,0,1,0,negative
421,0,1,0,1,1,positive
422,1,0,0,1,1,negative
423,1,1,0,1,0,negative
424,1,0,0,1,1,negative
425,1,1,0,1,1,negative
426,1,1,0,1,0,negative
