Interface;UI-317;UI-318;UI-323;UI-324;UI-346;Usability Indicator;Unnamed: 7
96;1;0;0;1;1;negative;
25;1;1;0;1;1;positive;
22;1;1;0;1;0;negative;
48;1;1;0;1;0;negative;
35;1;1;0;1;1;positive;
93;1;0;0;1;1;negative;
7;0;1;0;1;0;positive;
31;0;1;0;1;0;negative;
36;0;1;0;1;1;negative;
100;1;0;0;1;1;negative;
50;1;1;0;1;1;negative;
21;1;1;0;1;0;positive;
100;1;0;0;1;1;negative;
66;1;1;0;1;1;positive;
22;0;1;0;1;1;negative;
25;1;1;0;1;1;positive;
27;1;1;0;1;0;negative;
86;1;1;0;1;0;negative;
90;1;0;0;1;1;negative;
20;1;1;0;1;0;negative;
55;1;1;0;1;1;positive;
11;1;1;0;1;0;negative;
37;1;1;0;1;0;positive;
46;1;1;0;1;1;positive;
26;1;1;0;1;1;positive;
24;1;1;0;1;0;negative;
87;1;1;0;1;0;positive;
20;1;1;0;1;0;negative;
28;0;1;0;1;1;negative;
30;1;1;0;1;0;negative;
71;1;1;0;1;0;positive;
92;1;0;0;1;1;negative;
32;1;1;0;1;0;negative;
56;1;1;0;1;1;positive;
35;0;1;0;1;1;negative;
39;1;0;0;1;1;negative;
94;1;1;0;1;1;negative;
26;1;1;0;1;1;negative;
16;0;1;0;1;1;negative;
58;0;1;0;1;1;negative;
98;0;1;0;1;1;negative;
58;1;0;0;1;1;negative;
100;1;0;0;1;1;negative;
59;1;0;0;1;1;negative;
72;1;1;0;1;0;negative;
19;1;1;0;1;0;negative;
100;1;0;0;1;1;negative;
100;1;0;0;1;1;negative;
9;1;1;0;1;0;positive;
94;1;1;0;1;1;negative;
77;0;1;0;1;1;negative;
82;1;1;0;1;0;positive;
18;1;0;0;1;1;negative;
93;1;0;0;1;1;negative;
22;1;1;0;1;1;negative;
72;1;1;0;1;0;negative;
44;1;0;0;1;1;negative;
100;1;0;0;1;1;negative;
34;0;1;0;1;1;negative;
20;0;0;0;1;1;negative;
25;1;1;0;1;0;negative;
68;0;1;0;1;1;negative;
42;0;1;0;1;1;negative;
100;1;0;0;1;1;negative;
55;1;0;0;1;1;negative;
14;1;1;0;1;0;negative;
100;1;1;0;1;1;positive;
35;0;1;0;1;0;negative;
40;0;1;0;1;1;negative;
87;1;1;0;1;0;negative;
