Interface;UI-317;UI-318;UI-323;UI-324;UI-346;Usability Indicator;
1;1;1;0;1;1;positive;
2;1;1;0;1;1;positive;
3;1;1;0;1;1;positive;
4;1;1;0;1;1;positive;
5;1;1;0;1;1;positive;
6;1;1;0;1;1;positive;
7;1;1;0;1;1;positive;
8;1;1;0;1;1;positive;
9;1;1;0;1;1;positive;
10;1;1;0;1;1;positive;
11;1;1;0;1;1;positive;
12;1;1;0;1;1;positive;
13;1;1;0;1;0;negative;
14;1;1;0;1;1;positive;
15;1;1;0;1;0;negative;
16;1;1;0;1;0;negative;
17;1;1;0;1;0;negative;
18;1;1;0;1;0;negative;
19;1;1;0;1;1;positive;
20;1;1;0;1;1;positive;
21;1;1;0;1;1;positive;
22;1;1;0;1;1;positive;
23;1;1;0;1;1;positive;
24;0;1;0;1;1;negative;
25;0;1;0;1;1;negative;
26;0;1;0;1;1;negative;
27;0;1;0;1;1;negative;
28;0;1;0;1;0;negative;
29;1;1;0;1;1;positive;
30;1;1;0;1;1;positive;
31;1;1;0;1;1;positive;
32;0;1;0;1;0;negative;
33;0;1;0;1;1;negative;
34;0;1;0;1;0;negative;
35;1;1;0;1;0;negative;
36;0;1;0;1;0;negative;
37;1;1;0;1;1;positive;
38;0;1;0;1;1;negative;
39;1;1;0;1;1;positive;
40;1;1;0;1;1;positive;
41;0;1;0;1;1;negative;
42;1;1;0;1;0;negative;
43;1;1;0;1;1;positive;
44;1;1;0;1;1;positive;
45;1;1;0;1;0;negative;
46;1;1;0;1;0;negative;
47;1;1;0;1;0;negative;
48;1;1;0;1;1;positive;
49;1;1;0;1;1;positive;
50;1;1;0;1;1;positive;
51;1;1;0;1;1;positive;
52;1;1;0;1;1;positive;
53;1;1;0;1;1;positive;
54;1;1;0;1;0;negative;
55;1;1;0;1;0;negative;
56;1;1;0;1;0;negative;
57;1;1;0;1;0;negative;
58;1;1;0;1;0;negative;
59;1;1;0;1;1;positive;
60;1;1;0;1;1;positive;
61;1;1;0;1;1;positive;
62;1;1;0;1;1;positive;
63;1;1;0;1;1;positive;
64;1;1;0;1;0;negative;
65;1;1;0;1;1;positive;
66;1;1;0;1;0;negative;
67;1;1;0;1;0;negative;
68;1;1;0;1;0;negative;
69;1;1;0;1;1;positive;
70;1;1;0;1;0;negative;
71;1;1;0;1;1;positive;
72;1;1;0;1;1;positive;
73;1;1;0;1;1;positive;
74;1;1;0;1;1;positive;
75;1;1;0;1;1;positive;
76;1;1;0;1;1;positive;
77;1;1;0;1;1;positive;
78;1;1;0;1;1;positive;
79;1;1;0;1;1;positive;
80;1;1;0;1;1;positive;
81;1;1;0;1;1;positive;
82;1;1;0;1;1;positive;
83;1;1;0;1;1;positive;
84;1;0;0;1;1;negative;
85;1;1;0;1;1;positive;
86;1;0;0;1;1;negative;
87;1;1;0;1;1;positive;
88;1;1;0;1;1;positive;
89;1;1;0;1;1;positive;
90;1;1;0;1;1;positive;
91;1;1;0;1;1;positive;
92;1;1;0;1;1;positive;
93;1;1;0;1;1;positive;
94;1;0;0;1;1;negative;
95;1;1;0;1;1;positive;
96;1;1;0;1;1;positive;
97;1;0;0;1;1;negative;
98;1;0;0;1;1;negative;
99;1;1;0;1;0;negative;
100;1;1;0;1;0;negative;
