Interface-ID;IU-105;IU-106;IU-168;IU-370;IU-371;IU-374;IU-375;IU-508;Usability Indicator;
1;0;2;0;2;0;0;0;0;negative;
2;0;2;0;0;0;0;0;0;negative;
3;0;1;0;0;1;2;1;0;positive;
4;0;0;0;0;0;0;0;0;negative;
5;1;0;0;2;1;2;0;0;positive;
6;1;1;0;2;1;1;1;0;positive;
7;1;1;0;0;0;0;0;0;negative;
8;1;1;0;1;1;1;1;0;positive;
9;1;0;0;2;1;2;0;0;positive;
10;1;1;0;0;1;0;0;0;positive;
11;1;0;0;0;0;0;0;0;negative;
12;1;0;0;0;1;0;0;0;positive;
13;0;2;0;1;1;2;0;0;positive;
14;1;0;0;1;1;1;1;0;positive;
15;0;0;0;0;0;0;0;0;negative;
16;1;1;1;0;1;0;1;1;positive;
17;0;1;0;1;1;0;0;1;positive;
18;0;0;0;2;0;0;0;0;negative;
19;1;2;0;0;0;0;0;0;negative;
20;1;0;0;0;1;2;1;0;positive;
21;1;1;0;1;1;1;1;0;positive;
22;1;0;2;0;2;0;0;0;positive;
23;0;2;0;1;1;1;0;1;positive;
24;1;0;0;1;1;2;1;0;positive;
25;0;0;0;2;1;2;0;0;positive;
26;0;0;0;0;1;0;1;0;positive;
27;1;1;0;0;0;0;0;0;negative;
28;0;1;0;1;1;2;0;0;positive;
29;0;1;0;1;0;0;1;0;positive;
30;1;1;0;0;1;1;0;0;positive;
31;1;1;0;0;0;0;0;0;negative;
32;1;0;0;1;0;1;1;0;positive;
33;1;1;0;1;1;0;0;0;positive;
34;2;0;0;0;1;2;1;0;positive;
35;1;1;0;0;1;2;0;0;positive;
36;1;1;0;0;1;1;1;1;positive;
37;0;0;0;0;0;0;0;0;negative;
38;0;1;1;1;1;0;0;0;positive;
39;1;2;0;0;0;0;0;0;negative;
40;1;2;0;1;0;1;0;0;positive;
41;1;1;1;0;1;1;1;0;negative;
42;0;0;2;2;1;0;1;0;positive;
43;2;0;0;0;1;0;1;0;positive;
44;1;0;0;1;1;2;1;0;positive;
45;0;2;0;2;1;0;0;0;negative;
46;1;1;0;1;2;1;1;1;positive;
47;0;0;0;0;0;0;0;0;negative;
48;1;1;0;0;0;1;0;0;positive;
49;1;2;0;1;1;2;0;0;positive;
50;1;1;0;2;0;0;0;0;negative;
51;1;1;0;2;1;0;0;1;positive;
52;0;1;0;0;2;2;0;0;positive;
53;2;0;0;0;1;0;0;0;positive;
54;1;0;0;0;0;0;0;0;positive;
55;1;1;1;1;1;0;0;0;positive;
56;1;1;0;1;1;2;0;0;positive;
57;1;1;1;1;1;1;0;0;positive;
58;1;1;0;0;1;0;0;1;positive;
59;0;0;0;0;0;0;0;0;negative;
60;1;1;0;1;1;0;0;0;positive;
61;0;0;1;1;1;0;1;0;positive;
62;1;1;0;0;1;1;1;0;positive;
63;0;2;1;0;1;0;1;0;positive;
64;1;1;1;0;1;2;0;0;positive;
65;1;1;0;0;0;0;1;0;negative;
66;0;0;0;1;1;2;0;1;positive;
67;1;1;0;1;1;0;0;0;positive;
68;1;0;0;0;0;0;0;0;negative;
69;1;0;2;1;1;2;1;0;positive;
70;1;1;0;1;1;1;0;0;negative;
71;0;1;0;0;1;0;0;0;positive;
72;1;1;2;0;1;1;1;0;positive;
73;1;0;0;0;1;0;1;0;positive;
74;1;0;0;1;1;1;1;0;positive;
75;1;1;0;0;0;0;0;0;negative;
76;1;2;0;0;1;1;1;1;positive;
77;1;1;2;2;1;0;0;1;negative;
78;1;1;0;1;0;0;0;1;positive;
79;0;0;0;0;0;0;0;0;negative;
80;0;0;0;1;1;2;1;0;positive;
81;1;0;0;1;0;0;0;0;negative;
82;1;0;0;1;1;1;0;1;positive;
83;1;1;0;1;0;2;1;0;positive;
84;1;0;0;1;1;1;1;0;positive;
85;1;0;0;2;0;1;0;0;positive;
86;1;1;0;2;1;1;1;0;positive;
87;1;0;0;1;0;1;0;1;positive;
88;1;1;2;1;0;0;1;0;positive;
89;1;0;0;2;0;1;0;0;negative;
90;1;1;0;1;1;1;1;0;positive;
91;1;0;1;1;1;1;1;0;positive;
92;1;0;0;1;1;2;1;0;positive;
93;1;1;0;0;1;1;1;1;positive;
94;0;2;0;0;2;0;0;1;negative;
95;0;0;0;0;0;0;0;0;negative;
96;1;2;0;2;0;0;0;0;negative;
97;0;2;0;1;1;1;0;0;positive;
98;1;0;0;2;1;1;0;0;positive;
99;0;0;0;0;1;1;1;1;positive;
100;1;1;0;0;2;0;1;0;positive;
101;1;2;0;0;1;0;0;0;positive;
102;0;0;0;0;1;1;1;0;positive;
103;0;0;0;2;0;0;0;0;negative;
104;1;1;0;0;1;0;0;0;positive;
105;1;1;1;0;1;1;1;1;positive;
106;1;1;0;1;1;2;0;1;positive;
107;1;1;0;0;1;1;1;0;positive;
108;1;0;0;0;0;2;0;0;positive;
109;1;1;0;1;1;1;1;1;positive;
110;1;0;2;1;1;1;1;1;positive;
111;1;1;0;0;1;0;1;1;positive;
112;2;0;0;0;0;0;0;0;negative;
113;1;0;0;0;1;1;1;0;positive;
114;1;0;0;0;0;0;0;0;negative;
115;1;0;0;2;0;0;0;0;negative;
116;1;0;0;2;0;0;0;0;negative;
117;1;1;2;1;1;1;0;2;positive;
118;1;0;0;1;1;0;1;0;positive;
119;0;0;0;1;1;1;0;0;positive;
120;0;1;0;1;1;0;1;1;positive;
121;1;2;1;0;1;0;1;0;positive;
