Interface-ID,UI-199,UI-200,UI-201,UI-202,UI-203,UI-231,UI-232,UI-241,UI-596
1,8,6,7,9,6,6,6,7,5
2,9,9,7,7,7,7,7,9,5
3,4,6,5,6,1,4,4,3,1
4,10,10,9,10,9,10,9,10,6
5,5,2,1,4,1,1,1,2,2
6,10,5,6,6,5,1,3,6,1
7,4,6,4,4,2,1,2,3,1
8,10,10,9,10,9,9,8,7,6
9,4,6,3,4,3,1,3,4,1
10,10,9,8,9,7,7,6,9,5
11,8,8,9,9,7,5,8,6,5
12,4,4,8,4,5,2,3,3,3
13,9,7,7,5,7,4,4,3,5
14,4,2,3,7,1,1,2,2,2
15,5,2,4,6,2,3,3,4,0
16,4,6,3,6,1,1,3,2,0
17,7,7,7,3,7,5,3,2,1
18,9,7,7,9,6,7,8,8,6
19,10,7,8,10,8,6,8,9,6
20,4,2,1,5,1,1,3,3,0
21,2,2,2,4,2,1,2,3,0
22,9,10,8,10,8,8,8,10,7
23,5,8,7,5,4,3,3,5,0
24,2,1,2,3,1,1,1,2,2
25,10,8,9,7,6,3,7,6,2
26,3,6,1,5,1,5,3,4,3
27,3,2,1,5,1,1,2,2,1
28,4,4,1,3,1,1,1,3,2
29,5,7,3,9,7,6,4,4,2
30,4,2,1,4,1,1,3,1,0
31,4,2,3,6,2,1,4,3,1
32,2,2,1,5,1,1,4,3,1
33,4,3,4,5,1,3,3,4,2
34,5,8,7,5,6,2,5,7,2
35,5,1,3,5,3,1,1,4,2
36,10,7,6,9,6,3,7,9,7
37,7,7,8,6,6,4,4,5,6
38,5,7,7,5,5,6,3,3,2
39,4,3,4,3,1,1,3,3,1
40,3,2,6,4,5,4,2,4,2
41,4,8,4,5,7,2,1,4,2
42,10,8,8,10,9,10,8,9,5
43,3,3,1,5,1,1,1,2,0
44,9,7,9,10,8,4,8,8,6
45,7,8,9,10,9,9,10,9,6
46,3,2,2,5,1,1,3,2,0
47,4,6,8,4,5,6,3,5,5
48,3,7,3,2,4,1,3,5,2
49,5,8,4,5,7,3,2,3,2
50,7,6,4,4,7,3,7,6,3
51,5,5,7,4,6,4,3,3,5
52,3,4,1,5,1,2,1,4,3
53,6,5,7,4,1,5,4,5,2
54,4,1,2,5,2,2,4,5,1
55,3,2,2,4,1,2,2,4,0
56,4,8,8,5,6,3,2,3,0
57,7,7,7,9,6,6,9,8,6
58,4,7,3,5,2,2,3,3,2
59,8,6,8,6,7,4,7,8,2
60,8,9,8,10,5,4,9,7,0
61,4,3,3,5,1,1,2,1,1
62,10,10,7,10,7,10,9,8,6
63,3,2,3,4,4,1,3,3,2
64,5,3,4,4,2,3,4,4,1
65,8,8,7,8,8,5,7,9,5
66,8,7,10,4,7,2,7,8,3
67,6,6,9,5,6,6,6,2,2
68,9,7,7,9,5,3,7,9,6
69,4,4,3,5,1,2,4,3,0
70,10,9,7,10,6,5,7,9,6
71,10,7,8,10,10,6,8,7,5
72,4,2,2,5,2,1,2,3,1
73,9,9,7,9,6,6,9,9,6
74,8,7,8,8,6,5,7,7,6
75,5,1,1,4,1,1,1,5,2
76,9,7,4,5,3,6,2,4,0
77,3,5,5,5,6,2,4,3,3
78,9,6,8,5,5,5,3,3,2
79,9,8,9,9,7,5,7,6,6
80,2,3,1,4,2,1,4,1,0
81,9,7,9,8,8,5,7,9,6
82,4,8,6,9,6,7,7,1,3
83,7,8,8,9,7,4,3,8,5
