Interface-ID,UI-199,UI-200,UI-201,UI-202,UI-203,UI-231,UI-232,UI-241,UI-596
1,1,2,2,2,1,1,1,1,1
2,2,1,2,2,2,2,2,1,0
3,1,2,1,1,1,1,2,1,0
4,2,2,1,2,2,2,2,1,3
5,1,2,2,2,1,1,1,2,3
6,2,1,2,1,1,2,1,2,3
7,2,2,1,2,2,2,2,1,2
8,2,2,2,2,2,1,1,1,3
9,1,2,2,1,2,1,2,1,3
10,3,3,3,3,2,2,3,3,1
11,3,2,3,3,3,2,2,3,3
12,3,2,2,2,2,2,3,3,0
13,2,3,3,2,2,2,2,2,2
14,2,2,3,3,2,2,2,3,2
15,3,3,3,3,2,3,3,3,0
16,3,3,3,3,2,2,3,2,2
17,2,2,3,3,2,3,2,2,3
18,3,2,3,2,3,2,3,3,0
19,2,3,3,3,2,2,3,3,2
20,3,3,4,3,3,4,4,4,3
21,4,4,3,4,3,3,4,4,1
22,4,4,3,4,3,3,3,3,1
23,4,3,4,3,3,4,3,3,0
24,4,3,4,4,3,4,4,4,2
25,3,4,4,3,4,3,3,3,3
26,3,3,3,4,3,3,4,3,0
27,3,3,3,3,3,3,3,4,3
28,3,4,4,3,3,4,3,4,3
29,3,3,3,4,4,4,4,4,3
30,5,5,5,5,5,5,4,4,3
31,4,5,4,5,4,5,4,5,1
32,4,4,5,5,4,4,5,5,2
33,5,4,5,5,4,4,5,4,1
34,4,5,5,5,4,4,4,5,3
35,4,5,4,4,4,5,4,4,1
36,4,4,4,4,5,5,5,4,1
37,4,5,5,4,4,5,5,5,3
38,4,4,5,5,5,5,5,5,3
39,4,5,5,4,5,4,4,4,3
40,5,6,6,5,5,5,5,5,4
41,5,6,6,5,6,5,5,6,4
42,6,5,5,6,5,5,6,5,6
43,6,6,6,6,5,5,6,5,4
44,6,6,6,5,5,5,6,6,6
45,5,5,6,5,6,5,5,5,5
46,6,6,6,6,5,6,5,6,5
47,6,6,5,5,6,5,5,5,6
48,5,5,6,5,6,6,6,6,4
49,6,6,5,5,5,6,5,6,4
50,6,6,6,6,7,6,7,6,5
51,7,6,7,6,6,7,6,7,5
52,6,7,7,7,6,6,6,7,6
53,6,6,6,6,7,7,7,7,6
54,7,6,7,6,7,6,7,7,5
55,6,7,7,7,7,6,7,7,5
56,7,7,7,7,6,7,6,7,6
57,6,7,7,6,7,6,7,7,6
58,7,7,7,7,7,7,6,7,6
59,7,7,6,6,6,7,7,6,6
60,7,8,7,8,8,7,7,7,5
61,8,8,8,8,8,8,7,8,5
62,7,7,8,8,7,7,8,7,5
63,7,7,8,7,8,8,7,7,6
64,8,7,7,7,8,8,8,7,6
65,8,7,8,7,7,8,7,7,6
66,8,7,8,7,8,7,8,8,6
67,8,7,8,7,7,7,8,7,4
68,7,7,8,7,7,7,8,7,5
69,7,8,8,8,8,7,8,7,6
70,8,9,8,9,8,8,9,9,6
71,9,8,9,9,8,9,8,9,6
72,9,9,9,9,8,8,8,9,6
73,8,8,8,9,8,8,8,9,5
74,8,9,8,9,9,8,8,9,5
75,9,8,9,9,9,8,8,8,5
76,9,8,8,9,9,8,8,9,7
77,9,8,8,9,9,9,8,8,5
78,8,8,9,8,9,8,9,8,6
79,8,8,8,8,8,8,8,9,7
80,10,9,9,9,10,10,9,10,6
81,9,10,9,9,9,10,10,10,5
82,10,9,10,10,10,10,9,10,8
83,10,9,10,9,10,9,9,10,5
84,10,9,10,9,9,9,10,9,5
85,10,10,10,9,9,9,10,10,5
86,10,10,10,10,10,9,10,9,5
87,10,9,10,9,10,9,9,10,6
88,9,10,10,10,10,10,10,10,6
89,9,9,9,9,9,10,9,9,6
