Interface-ID,UI-199,UI-200,UI-201,UI-202,UI-203,UI-231,UI-232,UI-241,UI-596
1,4,5,8,5,6,6,3,2,1
2,8,9,1,1,8,6,10,8,5
3,7,6,1,4,6,2,5,10,8
4,2,3,3,10,4,4,6,5,0
5,4,8,4,6,8,3,8,8,0
6,8,9,7,2,6,9,1,1,1
7,9,10,8,3,9,6,7,1,1
8,9,8,3,10,7,5,10,1,7
9,3,5,5,7,2,6,7,2,1
10,9,10,2,10,10,7,6,5,7
11,8,5,8,1,9,6,2,2,9
12,10,5,5,3,3,2,7,3,8
13,1,4,9,7,3,4,3,2,9
14,9,5,2,2,3,7,5,3,2
15,8,7,3,2,1,1,8,10,3
16,6,7,7,7,3,4,6,8,6
17,4,10,3,10,9,9,1,3,9
18,8,9,7,10,7,2,6,2,1
19,8,5,1,7,1,10,2,7,8
20,2,3,8,10,2,3,5,5,2
21,5,9,1,10,6,4,6,5,6
22,8,9,9,2,9,6,5,7,0
23,5,2,8,4,3,4,5,6,8
24,1,1,5,7,2,10,9,1,9
25,10,6,7,1,7,3,5,5,5
26,10,5,9,5,5,9,5,9,5
27,10,8,10,6,2,1,8,6,2
28,3,1,5,9,8,7,3,9,8
29,4,2,7,7,6,2,9,4,3
30,6,9,8,8,9,7,2,2,6
31,9,10,8,8,7,10,3,10,4
32,9,2,5,8,9,1,3,10,5
33,6,4,6,7,1,3,9,1,7
34,2,10,6,3,6,4,1,6,3
35,3,8,2,9,5,8,2,4,0
36,5,4,2,9,1,5,4,10,6
37,9,9,5,1,6,8,3,4,0
38,3,8,6,7,2,8,7,3,2
39,8,4,9,5,10,8,10,7,7
40,9,9,10,10,10,1,2,6,6
41,5,3,1,4,3,2,2,1,5
42,9,8,2,5,8,9,1,10,4
43,5,7,6,10,4,3,6,9,6
44,9,8,2,10,9,6,8,10,5
45,10,6,7,7,1,1,10,5,2
46,3,5,9,3,8,7,8,4,9
47,3,7,2,6,6,9,10,5,0
48,2,7,6,1,8,8,3,4,6
49,9,6,8,6,3,7,9,5,3
50,2,9,4,8,10,4,3,10,9
51,8,9,9,9,1,8,7,7,9
52,9,5,6,6,2,1,10,3,8
53,7,4,9,9,1,9,10,8,0
54,7,1,7,4,10,6,10,1,0
55,9,8,6,9,5,7,7,9,5
56,6,5,8,2,7,8,5,2,7
57,3,4,3,6,10,2,4,9,0
58,1,10,5,3,10,6,6,5,4
59,8,3,5,5,3,6,7,5,4
60,8,8,4,5,5,4,4,1,7
61,6,7,2,10,6,1,3,10,1
62,5,7,5,7,2,8,6,5,8
63,7,3,4,7,1,4,2,7,7
64,1,3,4,2,1,7,9,8,9
65,10,1,1,4,9,7,10,7,4
66,10,3,8,4,4,7,1,3,0
67,8,3,9,3,6,5,7,8,9
68,10,10,5,2,6,9,7,8,5
69,7,2,4,8,10,5,10,6,1
70,3,3,4,2,10,7,7,7,5
71,7,7,7,7,7,1,3,9,9
72,8,9,4,6,8,6,1,9,8
73,1,2,5,5,1,6,8,7,8
