Interface-ID,UI-199,UI-200,UI-201,UI-202,UI-203,UI-231,UI-232,UI-241,UI-596
1,2,2,1,1,2,1,2,2,1
2,1,1,2,2,1,1,2,1,0
3,2,1,2,2,1,1,2,2,2
4,1,1,1,2,1,1,2,2,1
5,2,2,2,1,2,1,1,1,2
6,1,1,1,2,2,1,2,1,2
7,1,2,2,2,1,2,2,2,0
8,1,1,1,1,1,2,2,1,2
9,1,2,1,1,2,2,2,2,1
10,2,3,3,3,2,2,3,3,2
11,3,2,3,3,3,2,2,2,0
12,2,3,3,3,2,2,3,3,3
13,3,3,3,2,2,2,2,3,0
14,3,3,2,2,3,2,3,3,3
15,3,2,3,3,3,2,3,3,1
16,3,2,3,2,2,3,2,2,2
17,3,3,3,2,2,3,3,3,2
18,2,2,3,3,3,2,2,2,0
19,2,2,3,3,2,3,2,3,2
20,3,4,3,4,3,4,4,3,3
21,4,4,4,4,4,4,4,4,0
22,3,3,4,3,4,4,4,4,3
23,3,4,4,4,4,3,3,3,1
24,4,4,4,3,4,3,3,3,0
25,4,4,4,3,4,4,4,4,3
26,3,4,4,3,3,4,3,3,1
27,4,3,3,4,3,4,4,3,3
28,4,4,3,4,4,3,3,4,1
29,3,3,3,3,4,3,4,4,2
30,5,5,5,4,5,4,5,4,2
31,4,4,4,4,4,4,4,4,3
32,4,5,4,5,5,5,5,4,1
33,4,4,4,4,5,4,5,5,2
34,4,4,4,5,4,4,4,5,2
35,5,5,5,4,5,5,5,4,1
36,4,5,5,5,4,5,4,4,3
37,4,5,4,4,4,4,5,4,0
38,4,4,4,5,5,4,4,5,3
39,5,5,5,5,5,4,5,5,1
40,6,6,5,6,6,5,6,6,4
41,5,5,5,5,5,6,5,5,5
42,6,5,5,5,5,5,6,6,5
43,5,5,5,5,5,6,5,5,5
44,6,6,6,5,6,6,6,6,5
45,5,6,6,5,6,5,6,5,4
46,6,5,5,5,6,5,5,5,6
47,6,5,5,6,6,6,6,5,5
48,5,5,5,6,5,6,5,5,6
49,6,6,6,6,6,5,6,5,5
50,7,7,7,7,7,6,6,6,6
51,6,6,7,7,6,6,7,6,6
52,6,6,6,7,6,7,6,7,4
53,6,7,6,7,7,6,7,7,6
54,6,7,6,7,7,6,7,6,5
55,6,7,7,6,6,6,6,6,5
56,6,6,6,7,6,6,6,6,4
57,7,6,6,7,6,6,6,7,6
58,7,6,7,6,6,6,6,6,5
59,6,6,6,7,7,6,7,7,5
60,8,7,8,7,8,8,8,7,5
61,7,7,8,7,7,7,8,8,5
62,8,8,8,8,8,7,7,8,4
63,7,8,8,7,8,8,7,7,5
64,8,8,7,8,7,7,7,8,5
65,7,7,8,8,8,7,7,7,5
66,8,8,8,8,7,8,8,7,5
67,8,8,8,7,8,8,8,7,6
68,8,7,8,7,8,8,7,8,5
69,7,7,7,8,7,7,8,7,6
70,9,9,9,9,9,9,9,9,6
71,8,9,8,8,9,9,8,9,6
72,9,9,8,8,8,9,8,8,8
73,8,9,9,8,8,8,9,8,5
74,9,8,9,9,9,8,8,9,8
75,8,8,8,8,9,8,8,9,6
76,9,9,8,9,9,8,9,8,8
77,8,9,8,9,9,8,9,9,5
78,9,8,9,9,9,9,8,8,7
79,8,8,8,8,9,9,8,8,7
80,10,9,10,10,9,9,9,9,8
81,9,9,9,10,9,10,10,10,7
82,10,10,9,9,10,10,9,9,6
83,10,9,10,9,10,9,10,10,7
84,9,9,10,10,9,10,9,9,8
85,10,10,10,9,9,9,10,10,8
86,9,10,10,9,10,10,10,9,5
87,9,9,10,10,10,9,9,9,8
88,10,9,10,9,9,9,10,9,8
89,9,10,9,10,10,9,9,10,8
